"Period","GLCode","GLName","FSCategory","CostCenter","Amount"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-100","94720.05"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-101","98071.04"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-102","47111.54"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-104","91726.22"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-105","11284.5"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-107","15588.11"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COF-109","4132.35"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COP-101","5351.06"
"2024-04-01","60000010","Staff Salaries","Employee Cost","DAF-101","154328.72"
"2024-04-01","60000010","Staff Salaries","Employee Cost","PLF-101","22661.69"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-102","151549.69"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-118","61066.56"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-119","42724.49"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-138","114054.37"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-100","60426.31"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-101","111600.35"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-120","97532.09"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-130","19678.32"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-140","93021.57"
"2024-04-01","60000010","Staff Salaries","Employee Cost","GENF-170","32779.04"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-101","107645.72"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-105","160267.42"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-106","64159.29"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-107","122756.97"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-108","221234.41"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-109","152203.16"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-131","23705.39"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-136","11842.76"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-155","57687.36"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-103","71768.1"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-123","63681.28"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-128","63765.38"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-129","164397.91"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-141","10748.65"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-146","20742.22"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-149","98629.64"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-150","72526.53"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-151","238913.88"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-152","17667.24"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-153","93142.44"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-154","171979.72"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-104","67807.59"
"2024-04-01","60000010","Staff Salaries","Employee Cost","COM-147","39899.38"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-101","247416.78"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-102","5940.71"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-104","72558.58"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-105","55111.93"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-107","72292.95"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COF-109","15908.91"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COP-101","8337.04"
"2024-04-01","60000020","Labor Overtime","Employee Cost","DAF-101","430864.8"
"2024-04-01","60000020","Labor Overtime","Employee Cost","PLF-101","66866.58"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COM-118","25172.52"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COM-119","75099.36"
"2024-04-01","60000020","Labor Overtime","Employee Cost","GENF-120","26118.64"
"2024-04-01","60000020","Labor Overtime","Employee Cost","GENF-130","52103.49"
"2024-04-01","60000020","Labor Overtime","Employee Cost","GENF-140","134879.08"
"2024-04-01","60000020","Labor Overtime","Employee Cost","GENF-170","191968.9"
"2024-04-01","60000020","Labor Overtime","Employee Cost","COM-109","2132.74"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-100","45214.28"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-101","35113.94"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-102","19662.57"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-104","25669.94"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-105","4971.61"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-107","4838"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COF-109","2025.88"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COP-101","2510.37"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","DAF-101","48307.7"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","PLF-101","13220.81"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-102","56818.58"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-118","18181.52"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-119","15763.66"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-138","55993.16"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-100","29069.1"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-101","57286"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-120","24204.94"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-130","9712.42"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-140","33476.89"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","GENF-170","16715.64"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-101","56122.08"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-105","85839.48"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-106","33106.4"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-107","58032.53"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-108","108318.67"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-109","8337.3"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-131","11770.95"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-136","5842.38"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-155","31470.96"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-103","40827.9"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-123","27701.08"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-128","30197.97"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-129","37576.31"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-141","7595"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-146","10614.21"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-149","50989.61"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-150","38084.93"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-151","125803.74"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-152","9096.28"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-104","34737.63"
"2024-04-01","60000030","Staff Housing Allowances","Employee Cost","COM-147","23281.6"
"2024-04-01","60000040","Staff Mobile Allowance Exp.","Employee Cost","COM-118","2435.87"
"2024-04-01","60000040","Staff Mobile Allowance Exp.","Employee Cost","GENF-140","1218.12"
"2024-04-01","60000040","Staff Mobile Allowance Exp.","Employee Cost","COM-101","170.06"
"2024-04-01","60000040","Staff Mobile Allowance Exp.","Employee Cost","COM-129","-1527.87"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-100","8528.04"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-101","7464.53"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-102","6698.29"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-104","4792.72"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-105","1697.55"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-107","1633.04"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COF-109","729.1"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COP-101","869.39"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","DAF-101","15324.57"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","PLF-101","4149.11"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-102","18564.58"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-118","5747.21"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-119","2204.52"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-138","19863.65"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-100","8035.99"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-101","18195.18"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-120","7882.68"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-130","3239.11"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-140","9615.76"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","GENF-170","5463.32"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-101","15469.36"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-105","21569.26"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-106","9810.62"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-107","19674.36"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-108","36748.4"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-109","2235.62"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-131","3762.55"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-136","2136.68"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-155","9988.05"
