"Period","GLCode","GLName","FSCategory","CostCenter","Amount"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-100","21900.45"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-100","24298.36"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-100","22734.14"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-100","21786.31"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-100","21798.19"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-100","20798.54"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-100","26566.02"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-100","24587.83"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-100","25823.22"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-100","27496.95"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-100","28753.77"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-100","25917.74"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-101","100440.06"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-101","98537.65"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-101","101963.88"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-101","127125.69"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-101","127299.88"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-101","123956.52"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-101","125495.73"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-101","128548.91"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-101","133292.69"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-101","127861.88"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-101","124197.09"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-101","126570.6"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-102","26475.67"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-102","27592.8"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-102","28551.19"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-102","28682.93"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-102","28192.91"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-102","28244.19"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-102","29212.92"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-102","27625.91"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-102","29765.67"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-102","29225.36"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-102","28189.43"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-102","29225.36"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-104","46776.38"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-104","46793.19"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-104","51167.52"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-104","49029.38"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-104","48164.19"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-104","51470.63"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-104","47089.84"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-104","53704.11"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-104","49610.19"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-104","48443.95"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-104","53437.23"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-104","50170.84"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-105","8762.46"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-105","8485"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-105","8522.44"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-105","8264.89"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-105","8471.89"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-105","8057.04"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-105","8372.47"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-105","9040.17"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-105","8399.9"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-105","8528.73"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-105","8600.58"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-105","8538.76"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-107","12563.77"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-107","13365.22"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-107","12955.05"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-107","15087.13"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-107","15223.85"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-107","14027.26"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-107","14207.94"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-107","15097.97"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-107","15345.28"
