"Period","ActualRevenue","BudgetRevenue"
"2024-01-01","139964464.53","62302481.58"
"2024-02-01","137132904.37","61713718.35"
"2024-03-01","162781290.63","75056135.47"
"2024-04-01","135253287.91","62481925.19"
"2024-05-01","146068519.94","66171778.07"
"2024-06-01","122303979.02","65750011.05"
"2024-07-01","122293007.41","55952797.97"
"2024-08-01","120388446.84","66912107.06"
"2024-09-01","129100371.72","73148259.86"
"2024-10-01","143557468.92","73145661.68"
"2024-11-01","135021690.59","71457292.24"
"2024-12-01","128270805.9","63369963.48"
"2025-01-01","157099990.66","74992658.14"
"2025-02-01","149276822.99","68996040.2"
"2025-03-01","174961816.81","78824257.11"
"2025-04-01","144414742.91","66993720.47"
"2025-05-01","151605214.95","76265035.16"
"2025-06-01","145031872.71","75795320.75"
"2025-07-01","136128229.88","71229737.95"
"2025-08-01","149619587.13","73844079.29"
"2025-09-01","149057528.74","77120520.3"
"2025-10-01","154744081.13","77673178.9"
"2025-11-01","150617856.64","76142989.24"
"2025-12-01","154849742.96","71284604.52"
"2026-01-01","158771515.36","69980271.57"
"2026-02-01","159424223.9","72287697.52"
"2026-03-01","170052986.07","70430889.2"
"2026-04-01","158712244.59","77137609.81"
"2026-05-01","161148390.99","72022103.12"
"2026-06-01","143782638.23","71464956.27"
"2026-07-01","","58474332.76"
"2026-08-01","","67881213.01"
"2026-09-01","","74760122.64"
"2026-10-01","","74749702.23"
"2026-11-01","","78557340.26"
"2026-12-01","","78888129.68"
