"EmployeeID","SurveyDate","EnpsScore","EnpsCategory","WouldRecommend"
"BLD-100003","2023-08-02","9","Promoter","TRUE"
"BLD-100005","2024-06-23","8","Passive","TRUE"
"BLD-100007","2023-07-15","8","Passive","TRUE"
"BLD-100010","2025-05-21","8","Passive","TRUE"
"BLD-100011","2023-09-15","8","Passive","TRUE"
"BLD-100013","2025-10-10","8","Passive","TRUE"
"BLD-100014","2024-05-07","7","Passive","TRUE"
"BLD-100018","2025-05-08","8","Passive","TRUE"
"BLD-100022","2024-11-04","8","Passive","TRUE"
"BLD-100024","2023-07-13","7","Passive","TRUE"
"BLD-100026","2024-11-21","8","Passive","TRUE"
"BLD-100029","2024-11-07","8","Passive","TRUE"
"BLD-100031","2024-01-05","9","Promoter","TRUE"
"BLD-100035","2023-09-18","9","Promoter","TRUE"
"BLD-100037","2025-10-06","7","Passive","TRUE"
"BLD-100042","2024-11-03","7","Passive","TRUE"
"BLD-100043","2024-09-19","9","Promoter","TRUE"
"BLD-100044","2025-08-20","8","Passive","TRUE"
"BLD-100047","2025-01-09","7","Passive","TRUE"
"BLD-100048","2023-06-16","7","Passive","TRUE"
"BLD-100049","2023-07-14","7","Passive","TRUE"
"BLD-100050","2023-04-13","1","Detractor","FALSE"
"BLD-100053","2023-06-27","8","Passive","TRUE"
"BLD-100056","2024-08-10","7","Passive","TRUE"
"BLD-100057","2024-05-17","7","Passive","TRUE"
"BLD-100058","2025-04-26","9","Promoter","TRUE"
"BLD-100060","2025-10-10","4","Detractor","FALSE"
"BLD-100062","2024-03-03","6","Detractor","FALSE"
"BLD-100063","2025-11-13","6","Detractor","FALSE"
"BLD-100064","2023-09-05","6","Detractor","FALSE"
"BLD-100065","2023-02-17","1","Detractor","FALSE"
"BLD-100067","2023-03-15","4","Detractor","FALSE"
"BLD-100074","2023-12-01","9","Promoter","TRUE"
"BLD-100076","2025-02-15","9","Promoter","TRUE"
"BLD-100077","2024-07-27","9","Promoter","TRUE"
"BLD-100078","2023-05-09","8","Passive","TRUE"
"BLD-100079","2023-06-15","9","Promoter","TRUE"
"BLD-100080","2023-03-30","7","Passive","TRUE"
"BLD-100081","2023-11-03","6","Detractor","FALSE"
"BLD-100084","2023-12-26","6","Detractor","FALSE"
"BLD-100085","2024-06-22","6","Detractor","FALSE"
"BLD-100089","2024-04-27","2","Detractor","FALSE"
"BLD-100092","2026-01-06","6","Detractor","FALSE"
"BLD-100094","2023-10-05","8","Passive","TRUE"
"BLD-100098","2023-05-07","9","Promoter","TRUE"
"BLD-100099","2024-01-20","7","Passive","TRUE"
"BLD-100100","2024-12-05","7","Passive","TRUE"
"BLD-100103","2025-09-18","9","Promoter","TRUE"
"BLD-100106","2024-06-09","1","Detractor","FALSE"
"BLD-100108","2025-10-29","4","Detractor","FALSE"
"BLD-100110","2024-08-08","7","Passive","TRUE"
"BLD-100114","2025-05-15","8","Passive","TRUE"
"BLD-100115","2026-01-13","9","Promoter","TRUE"
"BLD-100116","2023-07-13","8","Passive","TRUE"
"BLD-100117","2023-04-03","8","Passive","TRUE"
"BLD-100120","2023-10-15","4","Detractor","FALSE"
"BLD-100123","2025-11-26","7","Passive","TRUE"
"BLD-100124","2023-12-20","8","Passive","TRUE"
"BLD-100129","2025-09-02","8","Passive","TRUE"
"BLD-100131","2025-08-02","4","Detractor","FALSE"
"BLD-100132","2023-07-27","8","Passive","TRUE"
"BLD-100133","2025-08-09","7","Passive","TRUE"
"BLD-100134","2025-05-19","1","Detractor","FALSE"
"BLD-100135","2023-04-07","9","Promoter","TRUE"
"BLD-100136","2024-06-21","4","Detractor","FALSE"
"BLD-100139","2024-05-17","1","Detractor","FALSE"
"BLD-100145","2025-04-25","4","Detractor","FALSE"
"BLD-100147","2024-12-28","9","Promoter","TRUE"
"BLD-100151","2024-02-25","9","Promoter","TRUE"
"BLD-100153","2024-06-05","9","Promoter","TRUE"
"BLD-100155","2023-07-09","7","Passive","TRUE"
"BLD-100156","2023-04-24","9","Promoter","TRUE"
"BLD-100160","2024-03-14","2","Detractor","FALSE"
"BLD-100162","2023-09-06","7","Passive","TRUE"
"BLD-100164","2023-03-27","9","Promoter","TRUE"
"BLD-100165","2025-02-21","9","Promoter","TRUE"
"BLD-100167","2025-04-16","6","Detractor","FALSE"
"BLD-100173","2023-09-30","7","Passive","TRUE"
"BLD-100175","2024-08-17","7","Passive","TRUE"
"BLD-100176","2025-10-17","9","Promoter","TRUE"
"BLD-100178","2025-10-08","7","Passive","TRUE"
"BLD-100180","2023-10-29","6","Detractor","FALSE"
"BLD-100183","2023-12-03","6","Detractor","FALSE"
"BLD-100184","2024-03-09","4","Detractor","FALSE"
"BLD-100185","2023-02-28","8","Passive","TRUE"
"BLD-100186","2024-09-15","4","Detractor","FALSE"
"BLD-100188","2025-05-11","4","Detractor","FALSE"
"BLD-100189","2024-03-30","1","Detractor","FALSE"
"BLD-100190","2023-11-13","8","Passive","TRUE"
"BLD-100192","2025-02-07","8","Passive","TRUE"
"BLD-100194","2025-05-31","2","Detractor","FALSE"
"BLD-100195","2024-07-03","7","Passive","TRUE"
"BLD-100198","2023-12-25","8","Passive","TRUE"
"BLD-100199","2025-03-16","8","Passive","TRUE"
"BLD-100200","2023-03-08","8","Passive","TRUE"
"BLD-100201","2025-01-24","9","Promoter","TRUE"
"BLD-100203","2023-11-22","8","Passive","TRUE"
"BLD-100204","2024-09-18","7","Passive","TRUE"
"BLD-100206","2023-08-09","6","Detractor","FALSE"
"BLD-100207","2025-09-03","8","Passive","TRUE"
"BLD-100211","2024-03-25","9","Promoter","TRUE"
"BLD-100218","2024-10-17","9","Promoter","TRUE"
"BLD-100223","2025-01-07","9","Promoter","TRUE"
"BLD-100224","2025-12-04","4","Detractor","FALSE"
"BLD-100226","2023-06-05","8","Passive","TRUE"
"BLD-100227","2023-07-07","4","Detractor","FALSE"
"BLD-100230","2023-04-04","1","Detractor","FALSE"
"BLD-100231","2023-12-05","4","Detractor","FALSE"
"BLD-100234","2024-06-20","8","Passive","TRUE"
"BLD-100237","2023-10-13","8","Passive","TRUE"
"BLD-100241","2024-10-04","7","Passive","TRUE"
"BLD-100244","2024-11-04","9","Promoter","TRUE"
"BLD-100245","2023-03-12","6","Detractor","FALSE"
"BLD-100248","2024-06-20","9","Promoter","TRUE"
"BLD-100249","2023-05-26","9","Promoter","TRUE"
"BLD-100251","2025-01-11","8","Passive","TRUE"
"BLD-100254","2023-08-09","6","Detractor","FALSE"
"BLD-100255","2024-02-06","7","Passive","TRUE"
"BLD-100263","2024-09-14","8","Passive","TRUE"
"BLD-100266","2023-02-22","8","Passive","TRUE"
"BLD-100267","2023-10-14","7","Passive","TRUE"
"BLD-100273","2023-06-26","1","Detractor","FALSE"
"BLD-100274","2023-02-05","4","Detractor","FALSE"
"BLD-100277","2024-10-06","6","Detractor","FALSE"
"BLD-100279","2024-07-13","7","Passive","TRUE"
"BLD-100280","2024-03-20","9","Promoter","TRUE"
"BLD-100282","2024-09-12","1","Detractor","FALSE"
"BLD-100283","2023-12-23","7","Passive","TRUE"
"BLD-100286","2023-06-21","6","Detractor","FALSE"
"BLD-100287","2023-01-22","1","Detractor","FALSE"
"BLD-100288","2024-04-16","7","Passive","TRUE"
"BLD-100289","2023-09-03","8","Passive","TRUE"
"BLD-100292","2025-11-26","8","Passive","TRUE"
"BLD-100294","2023-01-29","6","Detractor","FALSE"
"BLD-100296","2023-09-12","1","Detractor","FALSE"
"BLD-100299","2023-10-22","4","Detractor","FALSE"
"BLD-100300","2023-09-20","7","Passive","TRUE"
"BLD-100302","2024-08-10","6","Detractor","FALSE"
"BLD-100306","2025-08-19","6","Detractor","FALSE"
"BLD-100307","2025-11-26","2","Detractor","FALSE"
"BLD-100309","2025-02-23","8","Passive","TRUE"
"BLD-100310","2023-12-05","2","Detractor","FALSE"
"BLD-100312","2025-04-29","6","Detractor","FALSE"
"BLD-100314","2025-07-11","8","Passive","TRUE"
"BLD-100315","2023-04-14","7","Passive","TRUE"
"BLD-100318","2023-06-22","2","Detractor","FALSE"
"BLD-100321","2024-02-22","7","Passive","TRUE"
"BLD-100323","2025-06-18","8","Passive","TRUE"
"BLD-100324","2024-06-20","1","Detractor","FALSE"
"BLD-100327","2023-10-13","9","Promoter","TRUE"
"BLD-100329","2025-01-08","2","Detractor","FALSE"
"BLD-100330","2024-01-28","7","Passive","TRUE"
"BLD-100334","2024-12-30","1","Detractor","FALSE"
"BLD-100336","2023-05-21","2","Detractor","FALSE"
"BLD-100337","2025-06-11","7","Passive","TRUE"
"BLD-100342","2025-03-15","7","Passive","TRUE"
"BLD-100345","2023-09-05","8","Passive","TRUE"
"BLD-100346","2023-02-06","9","Promoter","TRUE"
"BLD-100348","2023-02-25","6","Detractor","FALSE"
"BLD-100350","2025-05-21","1","Detractor","FALSE"
"BLD-100352","2023-09-13","8","Passive","TRUE"
"BLD-100354","2023-06-15","4","Detractor","FALSE"
"BLD-100356","2024-02-05","7","Passive","TRUE"
"BLD-100360","2024-02-22","1","Detractor","FALSE"
"BLD-100364","2024-02-15","9","Promoter","TRUE"
"BLD-100365","2024-09-23","8","Passive","TRUE"
"BLD-100366","2024-11-08","6","Detractor","FALSE"
"BLD-100367","2024-05-17","6","Detractor","FALSE"
"BLD-100368","2024-09-25","8","Passive","TRUE"
"BLD-100371","2024-07-06","9","Promoter","TRUE"
"BLD-100372","2024-07-13","4","Detractor","FALSE"
"BLD-100374","2024-11-02","6","Detractor","FALSE"
"BLD-100376","2024-05-28","9","Promoter","TRUE"
"BLD-100378","2025-07-16","8","Passive","TRUE"
"BLD-100379","2023-08-20","8","Passive","TRUE"
"BLD-100381","2023-04-25","2","Detractor","FALSE"
"BLD-100384","2024-07-24","9","Promoter","TRUE"
"BLD-100385","2024-02-04","8","Passive","TRUE"
"BLD-100387","2023-12-27","8","Passive","TRUE"
"BLD-100389","2023-05-05","6","Detractor","FALSE"
"BLD-100393","2024-04-24","8","Passive","TRUE"
"BLD-100396","2023-06-29","6","Detractor","FALSE"
"BLD-100397","2024-01-13","6","Detractor","FALSE"
"BLD-100402","2025-12-25","4","Detractor","FALSE"
"BLD-100405","2023-06-17","9","Promoter","TRUE"
"BLD-100406","2023-07-26","9","Promoter","TRUE"
"BLD-100410","2024-10-09","4","Detractor","FALSE"
"BLD-100411","2025-12-09","6","Detractor","FALSE"
"BLD-100412","2024-09-09","9","Promoter","TRUE"
"BLD-100414","2023-04-27","9","Promoter","TRUE"
"BLD-100416","2025-11-10","4","Detractor","FALSE"
"BLD-100417","2024-01-14","7","Passive","TRUE"
"BLD-100424","2023-03-16","4","Detractor","FALSE"
"BLD-100425","2024-04-15","7","Passive","TRUE"
"BLD-100426","2024-10-31","7","Passive","TRUE"
"BLD-100427","2025-04-22","1","Detractor","FALSE"
"BLD-100431","2024-10-22","8","Passive","TRUE"
"BLD-100433","2023-01-24","7","Passive","TRUE"
"BLD-100440","2024-12-12","9","Promoter","TRUE"
"BLD-100443","2025-06-08","8","Passive","TRUE"
"BLD-100444","2025-02-20","7","Passive","TRUE"
"BLD-100446","2023-03-07","9","Promoter","TRUE"
"BLD-100447","2025-04-28","4","Detractor","FALSE"
"BLD-100449","2023-12-20","6","Detractor","FALSE"
"BLD-100454","2024-05-24","7","Passive","TRUE"
"BLD-100459","2024-01-03","7","Passive","TRUE"
"BLD-100460","2023-09-11","6","Detractor","FALSE"
"BLD-100461","2024-08-28","6","Detractor","FALSE"
"BLD-100462","2025-06-08","2","Detractor","FALSE"
"BLD-100467","2023-04-08","1","Detractor","FALSE"
"BLD-100468","2024-07-31","7","Passive","TRUE"
"BLD-100469","2024-09-23","6","Detractor","FALSE"
"BLD-100470","2025-05-25","8","Passive","TRUE"
"BLD-100471","2023-05-24","8","Passive","TRUE"
"BLD-100473","2023-03-24","4","Detractor","FALSE"
"BLD-100475","2023-07-31","7","Passive","TRUE"
"BLD-100476","2025-06-06","7","Passive","TRUE"
"BLD-100479","2025-08-22","6","Detractor","FALSE"
"BLD-100482","2025-11-16","6","Detractor","FALSE"
"BLD-100486","2024-04-06","6","Detractor","FALSE"
"BLD-100487","2025-01-24","1","Detractor","FALSE"
"BLD-100491","2024-07-25","8","Passive","TRUE"
"BLD-100493","2023-10-30","9","Promoter","TRUE"
"BLD-100495","2025-06-30","8","Passive","TRUE"
"BLD-100497","2023-07-02","8","Passive","TRUE"
"BLD-100502","2025-06-15","4","Detractor","FALSE"
"BLD-100503","2023-06-08","9","Promoter","TRUE"
"BLD-100511","2025-01-19","6","Detractor","FALSE"
"BLD-100515","2024-10-18","9","Promoter","TRUE"
"BLD-100516","2024-06-06","1","Detractor","FALSE"
"BLD-100521","2023-11-04","1","Detractor","FALSE"
"BLD-100522","2023-12-23","6","Detractor","FALSE"
"BLD-100523","2025-09-03","9","Promoter","TRUE"
"BLD-100524","2025-09-17","6","Detractor","FALSE"
"BLD-100527","2023-01-19","2","Detractor","FALSE"
"BLD-100528","2025-03-18","8","Passive","TRUE"
"BLD-100529","2024-11-17","7","Passive","TRUE"
"BLD-100531","2024-05-01","4","Detractor","FALSE"
"BLD-100532","2023-10-30","7","Passive","TRUE"
"BLD-100533","2023-03-02","7","Passive","TRUE"
"BLD-100539","2023-03-08","7","Passive","TRUE"
"BLD-100540","2024-08-24","6","Detractor","FALSE"
"BLD-100542","2023-07-29","8","Passive","TRUE"
"BLD-100543","2023-03-29","4","Detractor","FALSE"
"BLD-100544","2024-02-09","9","Promoter","TRUE"
"BLD-100547","2023-07-13","8","Passive","TRUE"
"BLD-100548","2023-10-25","8","Passive","TRUE"
"BLD-100550","2023-01-29","2","Detractor","FALSE"
"BLD-100551","2025-12-28","7","Passive","TRUE"
"BLD-100553","2025-11-08","7","Passive","TRUE"
"BLD-100558","2024-02-13","7","Passive","TRUE"
"BLD-100560","2024-06-11","7","Passive","TRUE"
"BLD-100561","2025-05-02","6","Detractor","FALSE"
"BLD-100563","2025-02-10","7","Passive","TRUE"
"BLD-100564","2025-11-06","7","Passive","TRUE"
"BLD-100566","2025-05-11","6","Detractor","FALSE"
"BLD-100567","2023-02-26","4","Detractor","FALSE"
"BLD-100568","2023-11-29","6","Detractor","FALSE"
"BLD-100571","2023-06-05","1","Detractor","FALSE"
"BLD-100573","2024-12-07","9","Promoter","TRUE"
"BLD-100577","2024-01-09","8","Passive","TRUE"
"BLD-100582","2025-10-28","4","Detractor","FALSE"
"BLD-100585","2023-10-06","4","Detractor","FALSE"
"BLD-100588","2025-08-11","9","Promoter","TRUE"
"BLD-100601","2025-11-09","8","Passive","TRUE"
"BLD-100602","2024-12-15","4","Detractor","FALSE"
"BLD-100603","2023-02-09","9","Promoter","TRUE"
"BLD-100604","2023-04-14","7","Passive","TRUE"
"BLD-100606","2023-05-21","6","Detractor","FALSE"
"BLD-100607","2023-09-24","9","Promoter","TRUE"
"BLD-100609","2024-02-04","4","Detractor","FALSE"
"BLD-100610","2023-05-26","7","Passive","TRUE"
"BLD-100611","2025-12-22","6","Detractor","FALSE"
