"EmployeeID","Stage","Score","ScoreDate"
"BLD-100002","Interview","10","2021-08-14"
"BLD-100002","Recruiting","9","2021-08-14"
"BLD-100002","Onboarding","8","2021-08-14"
"BLD-100002","Probation","8","2021-08-14"
"BLD-100003","Interview","10","2019-11-11"
"BLD-100003","Recruiting","9","2019-11-11"
"BLD-100003","Onboarding","8","2019-11-11"
"BLD-100003","Probation","8","2019-11-11"
"BLD-100004","Interview","10","2018-01-31"
"BLD-100004","Recruiting","9","2018-01-31"
"BLD-100004","Onboarding","8","2018-01-31"
"BLD-100004","Probation","8","2018-01-31"
"BLD-100005","Interview","10","2017-10-26"
"BLD-100005","Recruiting","9","2017-10-26"
"BLD-100005","Onboarding","8","2017-10-26"
"BLD-100005","Probation","8","2017-10-26"
"BLD-100006","Interview","10","2021-09-30"
"BLD-100006","Recruiting","9","2021-09-30"
"BLD-100006","Onboarding","8","2021-09-30"
"BLD-100006","Probation","8","2021-09-30"
"BLD-100007","Interview","10","2015-08-29"
"BLD-100007","Recruiting","9","2015-08-29"
"BLD-100007","Onboarding","8","2015-08-29"
"BLD-100007","Probation","8","2015-08-29"
"BLD-100008","Interview","10","2019-09-18"
"BLD-100008","Recruiting","9","2019-09-18"
"BLD-100008","Onboarding","8","2019-09-18"
"BLD-100008","Probation","8","2019-09-18"
"BLD-100009","Interview","10","2011-04-03"
"BLD-100009","Recruiting","9","2011-04-03"
"BLD-100009","Onboarding","8","2011-04-03"
"BLD-100009","Probation","8","2011-04-03"
"BLD-100010","Interview","10","2020-06-20"
"BLD-100010","Recruiting","9","2020-06-20"
"BLD-100010","Onboarding","8","2020-06-20"
"BLD-100010","Probation","8","2020-06-20"
"BLD-100011","Interview","10","2010-10-21"
"BLD-100011","Recruiting","9","2010-10-21"
"BLD-100011","Onboarding","8","2010-10-21"
"BLD-100011","Probation","8","2010-10-21"
"BLD-100012","Interview","10","2013-06-13"
"BLD-100012","Recruiting","9","2013-06-13"
"BLD-100012","Onboarding","8","2013-06-13"
"BLD-100012","Probation","8","2013-06-13"
"BLD-100013","Interview","10","2010-10-29"
"BLD-100013","Recruiting","9","2010-10-29"
"BLD-100013","Onboarding","8","2010-10-29"
"BLD-100013","Probation","8","2010-10-29"
"BLD-100014","Interview","10","2010-09-05"
"BLD-100014","Recruiting","9","2010-09-05"
"BLD-100014","Onboarding","8","2010-09-05"
"BLD-100014","Probation","8","2010-09-05"
"BLD-100015","Interview","10","2014-02-13"
"BLD-100015","Recruiting","9","2014-02-13"
"BLD-100015","Onboarding","8","2014-02-13"
"BLD-100015","Probation","8","2014-02-13"
"BLD-100016","Interview","10","2018-10-04"
"BLD-100016","Recruiting","9","2018-10-04"
"BLD-100016","Onboarding","8","2018-10-04"
"BLD-100016","Probation","8","2018-10-04"
"BLD-100017","Interview","10","2022-07-12"
"BLD-100017","Recruiting","9","2022-07-12"
"BLD-100017","Onboarding","8","2022-07-12"
"BLD-100017","Probation","8","2022-07-12"
"BLD-100018","Interview","10","2019-05-02"
"BLD-100018","Recruiting","9","2019-05-02"
"BLD-100018","Onboarding","8","2019-05-02"
"BLD-100018","Probation","8","2019-05-02"
"BLD-100019","Interview","10","2020-07-13"
"BLD-100019","Recruiting","9","2020-07-13"
"BLD-100019","Onboarding","8","2020-07-13"
"BLD-100019","Probation","8","2020-07-13"
"BLD-100020","Interview","10","2022-09-01"
"BLD-100020","Recruiting","9","2022-09-01"
"BLD-100020","Onboarding","8","2022-09-01"
"BLD-100020","Probation","8","2022-09-01"
"BLD-100021","Interview","10","2015-12-04"
"BLD-100021","Recruiting","9","2015-12-04"
"BLD-100021","Onboarding","8","2015-12-04"
"BLD-100021","Probation","8","2015-12-04"
"BLD-100022","Interview","10","2019-10-03"
"BLD-100022","Recruiting","9","2019-10-03"
"BLD-100022","Onboarding","8","2019-10-03"
"BLD-100022","Probation","8","2019-10-03"
"BLD-100023","Interview","10","2021-01-27"
"BLD-100023","Recruiting","9","2021-01-27"
"BLD-100023","Onboarding","8","2021-01-27"
"BLD-100023","Probation","8","2021-01-27"
"BLD-100024","Interview","10","2016-02-14"
"BLD-100024","Recruiting","9","2016-02-14"
"BLD-100024","Onboarding","8","2016-02-14"
"BLD-100024","Probation","8","2016-02-14"
"BLD-100025","Interview","10","2017-06-03"
"BLD-100025","Recruiting","9","2017-06-03"
"BLD-100025","Onboarding","8","2017-06-03"
"BLD-100025","Probation","8","2017-06-03"
"BLD-100026","Interview","10","2010-08-30"
"BLD-100026","Recruiting","9","2010-08-30"
"BLD-100026","Onboarding","8","2010-08-30"
"BLD-100026","Probation","8","2010-08-30"
"BLD-100027","Interview","10","2018-12-29"
"BLD-100027","Recruiting","9","2018-12-29"
"BLD-100027","Onboarding","8","2018-12-29"
"BLD-100027","Probation","8","2018-12-29"
"BLD-100028","Interview","10","2014-01-30"
"BLD-100028","Recruiting","9","2014-01-30"
"BLD-100028","Onboarding","8","2014-01-30"
"BLD-100028","Probation","8","2014-01-30"
"BLD-100029","Interview","10","2022-01-10"
"BLD-100029","Recruiting","9","2022-01-10"
"BLD-100029","Onboarding","8","2022-01-10"
"BLD-100029","Probation","8","2022-01-10"
"BLD-100030","Interview","10","2021-06-25"
"BLD-100030","Recruiting","9","2021-06-25"
"BLD-100030","Onboarding","8","2021-06-25"
"BLD-100030","Probation","8","2021-06-25"
"BLD-100031","Interview","10","2015-06-18"
"BLD-100031","Recruiting","9","2015-06-18"
"BLD-100031","Onboarding","8","2015-06-18"
"BLD-100031","Probation","8","2015-06-18"
"BLD-100032","Interview","10","2014-12-03"
"BLD-100032","Recruiting","9","2014-12-03"
"BLD-100032","Onboarding","8","2014-12-03"
"BLD-100032","Probation","8","2014-12-03"
"BLD-100033","Interview","10","2014-07-01"
"BLD-100033","Recruiting","9","2014-07-01"
"BLD-100033","Onboarding","8","2014-07-01"
"BLD-100033","Probation","8","2014-07-01"
"BLD-100034","Interview","10","2016-02-20"
"BLD-100034","Recruiting","9","2016-02-20"
"BLD-100034","Onboarding","8","2016-02-20"
"BLD-100034","Probation","8","2016-02-20"
"BLD-100035","Interview","10","2020-10-18"
"BLD-100035","Recruiting","9","2020-10-18"
"BLD-100035","Onboarding","8","2020-10-18"
"BLD-100035","Probation","8","2020-10-18"
"BLD-100036","Interview","10","2013-09-08"
"BLD-100036","Recruiting","9","2013-09-08"
"BLD-100036","Onboarding","8","2013-09-08"
"BLD-100036","Probation","8","2013-09-08"
"BLD-100037","Interview","10","2011-03-13"
"BLD-100037","Recruiting","9","2011-03-13"
"BLD-100037","Onboarding","8","2011-03-13"
"BLD-100037","Probation","8","2011-03-13"
"BLD-100038","Interview","10","2010-11-20"
"BLD-100038","Recruiting","9","2010-11-20"
"BLD-100038","Onboarding","8","2010-11-20"
"BLD-100038","Probation","8","2010-11-20"
"BLD-100039","Interview","10","2020-06-29"
"BLD-100039","Recruiting","9","2020-06-29"
"BLD-100039","Onboarding","8","2020-06-29"
"BLD-100039","Probation","8","2020-06-29"
"BLD-100040","Interview","10","2014-06-18"
"BLD-100040","Recruiting","9","2014-06-18"
"BLD-100040","Onboarding","8","2014-06-18"
"BLD-100040","Probation","8","2014-06-18"
"BLD-100041","Interview","10","2018-05-05"
"BLD-100041","Recruiting","9","2018-05-05"
"BLD-100041","Onboarding","8","2018-05-05"
"BLD-100041","Probation","8","2018-05-05"
"BLD-100042","Interview","10","2022-01-20"
"BLD-100042","Recruiting","9","2022-01-20"
"BLD-100042","Onboarding","8","2022-01-20"
"BLD-100042","Probation","8","2022-01-20"
"BLD-100043","Interview","10","2022-05-19"
"BLD-100043","Recruiting","9","2022-05-19"
"BLD-100043","Onboarding","8","2022-05-19"
"BLD-100043","Probation","8","2022-05-19"
"BLD-100044","Interview","10","2017-05-05"
"BLD-100044","Recruiting","9","2017-05-05"
"BLD-100044","Onboarding","8","2017-05-05"
"BLD-100044","Probation","8","2017-05-05"
"BLD-100045","Interview","10","2016-12-23"
"BLD-100045","Recruiting","9","2016-12-23"
"BLD-100045","Onboarding","8","2016-12-23"
"BLD-100045","Probation","8","2016-12-23"
"BLD-100046","Interview","10","2022-06-09"
"BLD-100046","Recruiting","9","2022-06-09"
"BLD-100046","Onboarding","8","2022-06-09"
"BLD-100046","Probation","8","2022-06-09"
"BLD-100047","Interview","10","2012-09-19"
"BLD-100047","Recruiting","9","2012-09-19"
"BLD-100047","Onboarding","8","2012-09-19"
"BLD-100047","Probation","8","2012-09-19"
"BLD-100048","Interview","10","2022-02-24"
"BLD-100048","Recruiting","9","2022-02-24"
"BLD-100048","Onboarding","8","2022-02-24"
"BLD-100048","Probation","8","2022-02-24"
"BLD-100049","Interview","10","2018-07-06"
"BLD-100049","Recruiting","9","2018-07-06"
"BLD-100049","Onboarding","8","2018-07-06"
"BLD-100049","Probation","8","2018-07-06"
"BLD-100050","Interview","10","2015-01-24"
"BLD-100050","Recruiting","9","2015-01-24"
"BLD-100050","Onboarding","8","2015-01-24"
"BLD-100050","Probation","8","2015-01-24"
"BLD-100051","Interview","10","2020-09-06"
"BLD-100051","Recruiting","9","2020-09-06"
"BLD-100051","Onboarding","8","2020-09-06"
"BLD-100051","Probation","8","2020-09-06"
"BLD-100052","Interview","10","2012-04-06"
"BLD-100052","Recruiting","9","2012-04-06"
"BLD-100052","Onboarding","8","2012-04-06"
"BLD-100052","Probation","8","2012-04-06"
"BLD-100053","Interview","10","2016-04-16"
"BLD-100053","Recruiting","9","2016-04-16"
"BLD-100053","Onboarding","8","2016-04-16"
"BLD-100053","Probation","8","2016-04-16"
"BLD-100054","Interview","10","2010-04-23"
"BLD-100054","Recruiting","9","2010-04-23"
"BLD-100054","Onboarding","8","2010-04-23"
"BLD-100054","Probation","8","2010-04-23"
"BLD-100055","Interview","10","2016-03-13"
"BLD-100055","Recruiting","9","2016-03-13"
"BLD-100055","Onboarding","8","2016-03-13"
"BLD-100055","Probation","8","2016-03-13"
"BLD-100056","Interview","10","2018-05-23"
"BLD-100056","Recruiting","9","2018-05-23"
"BLD-100056","Onboarding","8","2018-05-23"
"BLD-100056","Probation","8","2018-05-23"
"BLD-100057","Interview","10","2022-06-18"
"BLD-100057","Recruiting","9","2022-06-18"
