"Period","Division","ForecastHeadcount","LowerBound","UpperBound"
"2026-09-01","Commercial","154","152","156"
"2026-10-01","Commercial","155","152","158"
"2026-11-01","Commercial","156","153","159"
"2026-12-01","Commercial","156","152","160"
"2027-01-01","Commercial","156","151","161"
"2027-02-01","Commercial","157","152","162"
"2027-03-01","Commercial","158","152","164"
"2027-04-01","Commercial","158","151","165"
"2027-05-01","Commercial","158","151","165"
"2027-06-01","Commercial","159","151","167"
"2027-07-01","Commercial","160","151","169"
"2027-08-01","Commercial","160","151","169"
"2026-09-01","Corporate","297","293","301"
"2026-10-01","Corporate","296","291","301"
"2026-11-01","Corporate","296","289","303"
"2026-12-01","Corporate","295","287","303"
"2027-01-01","Corporate","294","285","303"
"2027-02-01","Corporate","294","284","304"
"2027-03-01","Corporate","293","282","304"
"2027-04-01","Corporate","292","280","304"
"2027-05-01","Corporate","291","278","304"
"2027-06-01","Corporate","290","276","304"
"2027-07-01","Corporate","290","274","306"
"2027-08-01","Corporate","289","272","306"
"2026-09-01","Operations","332","327","337"
"2026-10-01","Operations","331","325","337"
"2026-11-01","Operations","330","323","337"
"2026-12-01","Operations","329","320","338"
"2027-01-01","Operations","328","318","338"
"2027-02-01","Operations","326","315","337"
"2027-03-01","Operations","325","313","337"
"2027-04-01","Operations","324","310","338"
"2027-05-01","Operations","323","308","338"
"2027-06-01","Operations","322","306","338"
"2027-07-01","Operations","321","304","338"
"2027-08-01","Operations","320","301","339"
"2026-09-01","Supply Chain","136","134","138"
"2026-10-01","Supply Chain","136","134","138"
"2026-11-01","Supply Chain","135","132","138"
"2026-12-01","Supply Chain","135","131","139"
"2027-01-01","Supply Chain","134","130","138"
"2027-02-01","Supply Chain","134","129","139"
"2027-03-01","Supply Chain","133","128","138"
"2027-04-01","Supply Chain","132","126","138"
"2027-05-01","Supply Chain","132","126","138"
"2027-06-01","Supply Chain","131","124","138"
"2027-07-01","Supply Chain","131","124","138"
"2027-08-01","Supply Chain","130","122","138"
