"EmployeeID","PIPStartDate","Reason","Month3Status","Month6Status"
"BLD-100021","2024-01-02","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100028","2024-01-07","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100041","2024-01-11","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100051","2025-01-13","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100061","2025-01-15","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100066","2026-01-03","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100070","2025-01-01","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100071","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100076","2024-01-05","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100081","2024-01-18","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-100090","2024-01-12","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100095","2026-01-17","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100104","2026-01-06","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100111","2026-01-01","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100115","2024-12-31","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100126","2025-01-06","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100166","2025-01-04","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100174","2024-01-13","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100179","2025-01-11","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100182","2026-01-04","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100184","2024-01-17","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-100193","2024-01-05","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100218","2024-12-31","Below Expectations Performance Review (2024-12)","Terminated","Terminated"
"BLD-100224","2026-01-06","Below Expectations Performance Review (2025-12)","Terminated","Terminated"
"BLD-100225","2025-01-07","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100236","2026-01-09","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100240","2025-01-07","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
