"EmployeeID","ProbationStartDate","ReviewDate","Outcome"
"BLD-100002","2021-08-14","2021-11-12","Confirmed"
"BLD-100003","2019-11-11","2020-02-09","Confirmed"
"BLD-100004","2018-01-31","2018-05-01","Confirmed"
"BLD-100005","2017-10-26","2018-01-24","Confirmed"
"BLD-100006","2021-09-30","2021-12-29","Confirmed"
"BLD-100007","2015-08-29","2015-11-27","Confirmed"
"BLD-100008","2019-09-18","2019-12-17","Confirmed"
"BLD-100009","2011-04-03","2011-07-02","Confirmed"
"BLD-100010","2020-06-20","2020-09-18","Confirmed"
"BLD-100011","2010-10-21","2011-01-19","Confirmed"
"BLD-100012","2013-06-13","2013-09-11","Confirmed"
"BLD-100013","2010-10-29","2011-01-27","Confirmed"
"BLD-100014","2010-09-05","2010-12-04","Confirmed"
"BLD-100015","2014-02-13","2014-05-14","Confirmed"
"BLD-100016","2018-10-04","2019-01-02","Confirmed"
"BLD-100017","2022-07-12","2022-10-10","Confirmed"
"BLD-100018","2019-05-02","2019-07-31","Confirmed"
"BLD-100019","2020-07-13","2020-10-11","Confirmed"
"BLD-100020","2022-09-01","2022-11-30","Confirmed"
"BLD-100021","2015-12-04","2016-03-03","Extended"
"BLD-100022","2019-10-03","2020-01-01","Confirmed"
"BLD-100023","2021-01-27","2021-04-27","Confirmed"
"BLD-100024","2016-02-14","2016-05-14","Confirmed"
"BLD-100025","2017-06-03","2017-09-01","Confirmed"
"BLD-100026","2010-08-30","2010-11-28","Confirmed"
"BLD-100027","2018-12-29","2019-03-29","Confirmed"
"BLD-100028","2014-01-30","2014-04-30","Extended"
"BLD-100029","2022-01-10","2022-04-10","Confirmed"
"BLD-100030","2021-06-25","2021-09-23","Confirmed"
"BLD-100031","2015-06-18","2015-09-16","Confirmed"
"BLD-100032","2014-12-03","2015-03-03","Confirmed"
"BLD-100033","2014-07-01","2014-09-29","Confirmed"
"BLD-100034","2016-02-20","2016-05-20","Confirmed"
"BLD-100035","2020-10-18","2021-01-16","Confirmed"
"BLD-100036","2013-09-08","2013-12-07","Confirmed"
"BLD-100037","2011-03-13","2011-06-11","Confirmed"
"BLD-100038","2010-11-20","2011-02-18","Confirmed"
"BLD-100039","2020-06-29","2020-09-27","Confirmed"
"BLD-100040","2014-06-18","2014-09-16","Confirmed"
"BLD-100041","2018-05-05","2018-08-03","Extended"
"BLD-100042","2022-01-20","2022-04-20","Confirmed"
"BLD-100043","2022-05-19","2022-08-17","Confirmed"
"BLD-100044","2017-05-05","2017-08-03","Confirmed"
"BLD-100045","2016-12-23","2017-03-23","Confirmed"
"BLD-100046","2022-06-09","2022-09-07","Confirmed"
"BLD-100047","2012-09-19","2012-12-18","Confirmed"
"BLD-100048","2022-02-24","2022-05-25","Confirmed"
"BLD-100049","2018-07-06","2018-10-04","Confirmed"
"BLD-100050","2015-01-24","2015-04-24","Confirmed"
"BLD-100051","2020-09-06","2020-12-05","Confirmed"
"BLD-100052","2012-04-06","2012-07-05","Confirmed"
"BLD-100053","2016-04-16","2016-07-15","Confirmed"
"BLD-100054","2010-04-23","2010-07-22","Confirmed"
"BLD-100055","2016-03-13","2016-06-11","Confirmed"
"BLD-100056","2018-05-23","2018-08-21","Confirmed"
"BLD-100057","2022-06-18","2022-09-16","Confirmed"
"BLD-100058","2018-07-10","2018-10-08","Confirmed"
"BLD-100059","2014-06-10","2014-09-08","Confirmed"
"BLD-100060","2012-05-08","2012-08-06","Confirmed"
"BLD-100061","2011-05-03","2011-08-01","Confirmed"
"BLD-100062","2022-04-16","2022-07-15","Confirmed"
"BLD-100063","2019-07-13","2019-10-11","Confirmed"
"BLD-100064","2010-11-18","2011-02-16","Confirmed"
"BLD-100065","2020-10-24","2021-01-22","Confirmed"
"BLD-100066","2010-03-01","2010-05-30","Confirmed"
"BLD-100067","2017-05-31","2017-08-29","Confirmed"
"BLD-100068","2011-02-13","2011-05-14","Confirmed"
"BLD-100069","2010-04-26","2010-07-25","Confirmed"
"BLD-100070","2017-08-15","2017-11-13","Confirmed"
"BLD-100071","2019-12-20","2020-03-19","Confirmed"
"BLD-100072","2017-08-23","2017-11-21","Confirmed"
"BLD-100073","2014-01-04","2014-04-04","Confirmed"
"BLD-100074","2011-03-18","2011-06-16","Confirmed"
"BLD-100075","2017-03-12","2017-06-10","Confirmed"
"BLD-100076","2020-03-10","2020-06-08","Extended"
"BLD-100077","2017-09-30","2017-12-29","Confirmed"
