"PositionID","EmployeeID","TimeInRoleYears","RetirementRisk"
"CP-001","BLD-100002","4.4","Medium"
"CP-002","BLD-100020","3.3","Medium"
"CP-003","BLD-100055","9.8","Low"
"CP-004","BLD-100087","8.6","Low"
"CP-005","BLD-100119","6.6","High"
"CP-006","BLD-100141","14.4","Medium"
"CP-007",,,
"CP-008","BLD-100171","11.8","High"
"CP-009","BLD-100205","5.3","Low"
"CP-010","BLD-100229","14.6","High"
"CP-011","BLD-100265","11.6","High"
"CP-012","BLD-100271","9.3","Low"
"CP-013","BLD-100303","4.2","High"
"CP-014",,,
"CP-015","BLD-100375","10.4","Low"
"CP-016","BLD-100394","11.6","High"
"CP-017","BLD-100403","8.8","Medium"
"CP-018","BLD-100441","5.5","Low"
"CP-019","BLD-100464","10.4","Medium"
"CP-020","BLD-100490","8.9","Medium"
"CP-021",,,
"CP-022","BLD-100538","6.8","High"
"CP-023","BLD-100576","5","Low"
"CP-024","BLD-100586","12.2","Low"
"CP-025","BLD-100657","10.6","High"
"CP-026","BLD-100676","12.2","Low"
"CP-027","BLD-100714","10.3","Low"
"CP-028",,,
"CP-029","BLD-100766","10.7","High"
"CP-030","BLD-100799","9.5","Low"
"CP-031","BLD-100806","5.3","Low"
"CP-032","BLD-100850","3.7","Low"
"CP-033","BLD-100878","9.7","Low"
"CP-034","BLD-100897","8.8","High"
"CP-035",,,
"CP-036","BLD-100951","15.7","High"
"CP-037","BLD-100993","4.5","Medium"
"CP-038","BLD-101009","12.1","Low"
"CP-039","BLD-101014","6.8","Low"
"CP-040","BLD-101030","11.4","Low"
"CP-041","BLD-101057","0.3","Low"
"CP-042",,,
"CP-043","BLD-101128","1.8","Low"
"CP-044","BLD-101143","0.7","Low"
"CP-045","BLD-101154","0.9","Low"
