"PositionID","SuccessorEmployeeID","Readiness","IsHighPotential"
"CP-001","BLD-100105","Ready Now","TRUE"
"CP-002","BLD-100753","Ready Now","TRUE"
"CP-002","BLD-101201","Ready 1-2 Years","FALSE"
"CP-003","BLD-100285","Ready Now","TRUE"
"CP-005","BLD-100009","Ready Now","TRUE"
"CP-006","BLD-100626","Ready Now","TRUE"
"CP-006","BLD-101215","Ready 1-2 Years","FALSE"
"CP-007","BLD-100066","Ready Now","TRUE"
"CP-009","BLD-100951","Ready Now","TRUE"
"CP-010","BLD-100066","Ready Now","TRUE"
"CP-010","BLD-101186","Ready 3-5 Years","FALSE"
"CP-011","BLD-100951","Ready Now","TRUE"
"CP-013","BLD-100421","Ready Now","TRUE"
"CP-014","BLD-100285","Ready Now","TRUE"
"CP-014","BLD-101138","Ready 1-2 Years","FALSE"
"CP-015","BLD-100421","Ready Now","TRUE"
"CP-017","BLD-100753","Ready Now","TRUE"
"CP-018","BLD-100626","Ready Now","TRUE"
"CP-018","BLD-101215","Ready 1-2 Years","FALSE"
"CP-019","BLD-100066","Ready Now","TRUE"
"CP-021","BLD-100421","Ready Now","TRUE"
"CP-022","BLD-100421","Ready Now","TRUE"
"CP-022","BLD-101124","Ready 1-2 Years","FALSE"
"CP-023","BLD-100066","Ready Now","TRUE"
"CP-025","BLD-100105","Ready Now","TRUE"
"CP-026","BLD-100951","Ready Now","TRUE"
"CP-026","BLD-101399","Ready 1-2 Years","FALSE"
"CP-027","BLD-100912","Ready Now","TRUE"
"CP-029","BLD-100753","Ready Now","TRUE"
"CP-030","BLD-100066","Ready Now","TRUE"
"CP-030","BLD-101186","Ready 3-5 Years","FALSE"
"CP-031","BLD-100066","Ready Now","TRUE"
"CP-033","BLD-100452","Ready Now","TRUE"
"CP-034","BLD-100452","Ready Now","TRUE"
"CP-034","BLD-101208","Ready 1-2 Years","FALSE"
"CP-035","BLD-100626","Ready Now","TRUE"
"CP-037","BLD-100481","Ready Now","TRUE"
"CP-038","BLD-100452","Ready Now","TRUE"
"CP-038","BLD-101208","Ready 1-2 Years","FALSE"
"CP-039","BLD-100009","Ready Now","TRUE"
"CP-041","BLD-100912","Ready Now","TRUE"
"CP-042","BLD-100481","Ready Now","TRUE"
"CP-042","BLD-101185","Ready 1-2 Years","FALSE"
"CP-043","BLD-100912","Ready Now","TRUE"
"CP-045","BLD-100481","Ready Now","TRUE"
