"employee_id","grade","position","base_salary","currency","salary_effective_date"
"BLD-100002","G12","Assistant Manager - Procurement","25260","QAR","2023-01-01"
"BLD-100002","G12","Assistant Manager - Procurement","27580","QAR","2024-01-01"
"BLD-100002","G12","Assistant Manager - Procurement","29600","QAR","2025-01-01"
"BLD-100003","G3","Associate - R&D","3710","QAR","2023-01-01"
"BLD-100004","G1","Coordinator - Corporate & Executive Office","3250","QAR","2023-01-01"
"BLD-100004","G1","Coordinator - Corporate & Executive Office","2930","QAR","2024-01-01"
"BLD-100004","G1","Coordinator - Corporate & Executive Office","3070","QAR","2025-01-01"
"BLD-100005","G8","Specialist - Engineering & Maintenance","8800","QAR","2023-01-01"
"BLD-100005","G8","Specialist - Engineering & Maintenance","9220","QAR","2024-01-01"
"BLD-100006","G1","Technician - IT & Digital","2730","QAR","2023-01-01"
"BLD-100006","G1","Technician - IT & Digital","3250","QAR","2024-01-01"
"BLD-100006","G1","Technician - IT & Digital","3700","QAR","2025-01-01"
"BLD-100007","G1","Operator - Quality Assurance & Food Safety","3090","EGP","2023-01-01"
"BLD-100008","G12","Assistant Manager - Engineering & Maintenance","24430","QAR","2023-01-01"
"BLD-100008","G12","Assistant Manager - Engineering & Maintenance","27520","QAR","2024-01-01"
"BLD-100008","G12","Assistant Manager - Engineering & Maintenance","28850","QAR","2025-01-01"
"BLD-100009","G10","Senior Manager - IT & Digital","13060","QAR","2023-01-01"
"BLD-100009","G10","Senior Manager - IT & Digital","13250","QAR","2024-01-01"
"BLD-100009","G10","Senior Manager - IT & Digital","17240","QAR","2025-01-01"
"BLD-100010","G2","Technician - Marketing","3410","QAR","2023-01-01"
"BLD-100010","G2","Technician - Marketing","3290","QAR","2024-01-01"
"BLD-100010","G2","Technician - Marketing","4070","QAR","2025-01-01"
"BLD-100011","G4","Officer - Finance","4540","QAR","2023-01-01"
"BLD-100012","G1","Coordinator - People & Culture","2910","EGP","2023-01-01"
"BLD-100012","G1","Coordinator - People & Culture","2930","EGP","2024-01-01"
"BLD-100012","G1","Coordinator - People & Culture","3100","EGP","2025-01-01"
"BLD-100013","G8","Senior Officer - Marketing","9040","QAR","2023-01-01"
"BLD-100013","G8","Senior Officer - Marketing","10280","QAR","2024-01-01"
"BLD-100013","G8","Senior Officer - Marketing","9360","QAR","2025-01-01"
"BLD-100014","G6","Senior Officer - Engineering & Maintenance","5930","QAR","2023-01-01"
"BLD-100014","G6","Senior Officer - Engineering & Maintenance","5770","QAR","2024-01-01"
"BLD-100015","G9","Team Lead - Engineering & Maintenance","12860","QAR","2023-01-01"
"BLD-100015","G9","Team Lead - Engineering & Maintenance","11700","QAR","2024-01-01"
"BLD-100015","G9","Team Lead - Engineering & Maintenance","11890","QAR","2025-01-01"
"BLD-100016","G6","Team Lead - Corporate & Executive Office","6690","QAR","2023-01-01"
"BLD-100016","G6","Team Lead - Corporate & Executive Office","6830","QAR","2024-01-01"
"BLD-100016","G6","Team Lead - Corporate & Executive Office","7000","QAR","2025-01-01"
"BLD-100017","G6","Team Lead - Engineering & Maintenance","6140","QAR","2023-01-01"
"BLD-100017","G6","Team Lead - Engineering & Maintenance","5820","QAR","2024-01-01"
"BLD-100017","G6","Team Lead - Engineering & Maintenance","6340","QAR","2025-01-01"
"BLD-100018","G6","Senior Officer - Engineering & Maintenance","6820","QAR","2023-01-01"
"BLD-100018","G6","Senior Officer - Engineering & Maintenance","7020","QAR","2024-01-01"
"BLD-100018","G6","Senior Officer - Engineering & Maintenance","6660","QAR","2025-01-01"
"BLD-100019","G5","Officer - Sales & Distribution","5550","QAR","2023-01-01"
"BLD-100019","G5","Officer - Sales & Distribution","5110","QAR","2024-01-01"
"BLD-100019","G5","Officer - Sales & Distribution","5180","QAR","2025-01-01"
"BLD-100020","G11","Senior Manager - Supply Chain & Logistics","19580","QAR","2023-01-01"
"BLD-100020","G11","Senior Manager - Supply Chain & Logistics","16820","QAR","2024-01-01"
"BLD-100020","G11","Senior Manager - Supply Chain & Logistics","21720","QAR","2025-01-01"
"BLD-100021","G2","Officer - Corporate & Executive Office","3710","QAR","2023-01-01"
"BLD-100021","G2","Officer - Corporate & Executive Office","3650","QAR","2024-01-01"
"BLD-100021","G2","Officer - Corporate & Executive Office","3500","QAR","2025-01-01"
"BLD-100022","G5","Associate - Sales & Distribution","5090","EGP","2023-01-01"
"BLD-100022","G5","Associate - Sales & Distribution","5720","EGP","2024-01-01"
"BLD-100023","G1","Operator - People & Culture","2920","QAR","2023-01-01"
"BLD-100023","G1","Operator - People & Culture","3130","QAR","2024-01-01"
"BLD-100023","G1","Operator - People & Culture","3110","QAR","2025-01-01"
"BLD-100024","G5","Assistant - People & Culture","5720","QAR","2023-01-01"
"BLD-100025","G2","Officer - Sales & Distribution","3690","EGP","2023-01-01"
"BLD-100025","G2","Officer - Sales & Distribution","3670","EGP","2024-01-01"
"BLD-100025","G2","Officer - Sales & Distribution","3980","EGP","2025-01-01"
"BLD-100026","G7","Specialist - Quality Assurance & Food Safety","8240","EGP","2023-01-01"
"BLD-100026","G7","Specialist - Quality Assurance & Food Safety","6900","EGP","2024-01-01"
"BLD-100027","G1","Assistant - Supply Chain & Logistics","3180","QAR","2023-01-01"
"BLD-100027","G1","Assistant - Supply Chain & Logistics","3540","QAR","2024-01-01"
"BLD-100027","G1","Assistant - Supply Chain & Logistics","3390","QAR","2025-01-01"
"BLD-100028","G2","Operator - R&D","3700","QAR","2023-01-01"
"BLD-100028","G2","Operator - R&D","3850","QAR","2024-01-01"
"BLD-100028","G2","Operator - R&D","3310","QAR","2025-01-01"
"BLD-100029","G1","Operator - Quality Assurance & Food Safety","3100","EGP","2023-01-01"
"BLD-100029","G1","Operator - Quality Assurance & Food Safety","3490","EGP","2024-01-01"
"BLD-100030","G1","Officer - People & Culture","2970","EGP","2023-01-01"
"BLD-100030","G1","Officer - People & Culture","3060","EGP","2024-01-01"
"BLD-100030","G1","Officer - People & Culture","3260","EGP","2025-01-01"
"BLD-100031","G7","Senior Officer - Engineering & Maintenance","6900","QAR","2023-01-01"
"BLD-100032","G2","Operator - Sales & Distribution","3520","QAR","2023-01-01"
"BLD-100032","G2","Operator - Sales & Distribution","3240","QAR","2024-01-01"
"BLD-100032","G2","Operator - Sales & Distribution","3520","QAR","2025-01-01"
"BLD-100033","G6","Supervisor - People & Culture","6200","QAR","2023-01-01"
"BLD-100033","G6","Supervisor - People & Culture","6470","QAR","2024-01-01"
"BLD-100033","G6","Supervisor - People & Culture","5920","QAR","2025-01-01"
"BLD-100034","G1","Officer - Procurement","3260","QAR","2023-01-01"
"BLD-100034","G1","Officer - Procurement","3290","QAR","2024-01-01"
"BLD-100034","G1","Officer - Procurement","2940","QAR","2025-01-01"
"BLD-100035","G8","Team Lead - People & Culture","10110","QAR","2023-01-01"
"BLD-100036","G13","Head of Department - Production","25800","EGP","2023-01-01"
"BLD-100036","G13","Head of Department - Production","27340","EGP","2024-01-01"
"BLD-100036","G13","Head of Department - Production","33920","EGP","2025-01-01"
"BLD-100037","G5","Associate - People & Culture","5190","QAR","2023-01-01"
"BLD-100037","G5","Associate - People & Culture","5890","QAR","2024-01-01"
"BLD-100037","G5","Associate - People & Culture","5490","QAR","2025-01-01"
"BLD-100038","G10","Manager - Procurement","15580","QAR","2023-01-01"
"BLD-100038","G10","Manager - Procurement","14410","QAR","2024-01-01"
"BLD-100038","G10","Manager - Procurement","13930","QAR","2025-01-01"
"BLD-100039","G3","Associate - Supply Chain & Logistics","3670","QAR","2023-01-01"
"BLD-100039","G3","Associate - Supply Chain & Logistics","4150","QAR","2024-01-01"
"BLD-100039","G3","Associate - Supply Chain & Logistics","4730","QAR","2025-01-01"
"BLD-100040","G1","Assistant - R&D","2830","QAR","2023-01-01"
"BLD-100040","G1","Assistant - R&D","3380","QAR","2024-01-01"
"BLD-100040","G1","Assistant - R&D","3240","QAR","2025-01-01"
"BLD-100041","G4","Officer - Engineering & Maintenance","4220","QAR","2023-01-01"
"BLD-100041","G4","Officer - Engineering & Maintenance","4550","QAR","2024-01-01"
"BLD-100041","G4","Officer - Engineering & Maintenance","4480","QAR","2025-01-01"
"BLD-100042","G8","Senior Technician - Supply Chain & Logistics","10330","QAR","2023-01-01"
"BLD-100042","G8","Senior Technician - Supply Chain & Logistics","10010","QAR","2024-01-01"
"BLD-100043","G3","Technician - IT & Digital","4240","QAR","2023-01-01"
"BLD-100043","G3","Technician - IT & Digital","4210","QAR","2024-01-01"
"BLD-100044","G6","Senior Officer - People & Culture","6690","EGP","2023-01-01"
"BLD-100044","G6","Senior Officer - People & Culture","7110","EGP","2024-01-01"
"BLD-100044","G6","Senior Officer - People & Culture","6920","EGP","2025-01-01"
"BLD-100045","G5","Assistant - R&D","4630","QAR","2023-01-01"
"BLD-100045","G5","Assistant - R&D","5090","QAR","2024-01-01"
"BLD-100045","G5","Assistant - R&D","5690","QAR","2025-01-01"
"BLD-100046","G2","Coordinator - Engineering & Maintenance","3320","QAR","2023-01-01"
"BLD-100046","G2","Coordinator - Engineering & Maintenance","3630","QAR","2024-01-01"
"BLD-100046","G2","Coordinator - Engineering & Maintenance","3960","QAR","2025-01-01"
"BLD-100047","G5","Coordinator - Quality Assurance & Food Safety","4860","QAR","2023-01-01"
"BLD-100047","G5","Coordinator - Quality Assurance & Food Safety","5660","QAR","2024-01-01"
