"employee_id","gender","nationality","ethnicity","age","age_band","disability_status","grade","management_level","leadership_status"
"BLD-100002","Male","Pakistani","Not Tracked","49","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100004","Male","Filipino","Not Tracked","38","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100006","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100008","Male","Indian","Not Tracked","43","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100009","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100012","Male","Egyptian","Not Tracked","51","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100015","Male","Egyptian","Not Tracked","56","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100016","Male","Qatari","Not Tracked","52","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100017","Male","Indian","Not Tracked","53","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100019","Male","Nepali","Not Tracked","55","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100020","Male","Bangladeshi","Not Tracked","52","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100021","Male","Nepali","Not Tracked","34","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100023","Female","Indian","Not Tracked","57","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100025","Male","Egyptian","Not Tracked","40","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100027","Male","Jordanian","Not Tracked","61","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100028","Female","Indian","Not Tracked","41","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100030","Female","Egyptian","Not Tracked","40","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100032","Male","Nepali","Not Tracked","52","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100033","Male","Egyptian","Not Tracked","43","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100034","Female","Indian","Not Tracked","48","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100036","Male","Egyptian","Not Tracked","49","45-54","Not Disclosed","G13","Executive","Leadership"
"BLD-100038","Male","Bangladeshi","Not Tracked","39","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100039","Male","Jordanian","Not Tracked","45","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100040","Female","Sri Lankan","Not Tracked","59","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100041","Female","Filipino","Not Tracked","61","55+","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100045","Female","Jordanian","Not Tracked","38","35-44","Not Disclosed","G5","Staff","Non-Leadership"
