"employee_id","performance_cycle","goal_score","competency_score","overall_rating","rating_date","manager_rating","calibration_rating","promotion_recommendation"
"BLD-100002","2023 Annual","3.1","3.7","Exceeds Expectations","2023-12-20","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100002","2024 Annual","3.4","3.4","Exceeds Expectations","2024-12-28","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100002","2025 Annual","4","4.3","Exceptional","2025-12-11","Exceptional","Exceptional","Yes"
"BLD-100004","2023 Annual","2.9","2.6","Meets Some Expectations","2023-12-20","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100004","2024 Annual","3.5","2.9","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100004","2025 Annual","3.1","3.2","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100005","2023 Annual","3.3","3.2","Exceeds Expectations","2023-12-25","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100006","2023 Annual","2.2","2.3","Meets Some Expectations","2023-12-13","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100006","2024 Annual","3.2","2.7","Meets Expectations","2024-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100006","2025 Annual","3.1","3.3","Meets Expectations","2025-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100008","2023 Annual","3.8","2.8","Exceeds Expectations","2023-12-19","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100008","2024 Annual","3.1","2.3","Meets Some Expectations","2024-12-20","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100008","2025 Annual","2.9","3.1","Meets Expectations","2025-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100009","2023 Annual","2.9","2.8","Meets Expectations","2023-12-20","Meets Expectations","Meets Expectations","No"
"BLD-100009","2024 Annual","2.5","2.5","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100009","2025 Annual","3.3","2.8","Meets Expectations","2025-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100010","2023 Annual","2.9","3.2","Meets Expectations","2023-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100010","2024 Annual","2","2.8","Meets Some Expectations","2024-12-10","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100012","2023 Annual","3.2","3.2","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100012","2024 Annual","3","2.3","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100012","2025 Annual","2.1","2.8","Meets Some Expectations","2025-12-18","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100013","2023 Annual","3.9","4.1","Exceptional","2023-12-15","Exceptional","Exceptional","Yes"
"BLD-100013","2024 Annual","2.4","2.9","Meets Some Expectations","2024-12-23","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100014","2023 Annual","2.8","2.4","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100015","2023 Annual","3.1","3","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100015","2024 Annual","2.6","2.7","Meets Some Expectations","2024-12-22","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100015","2025 Annual","3.1","3.6","Meets Expectations","2025-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100016","2023 Annual","3.8","3.2","Exceptional","2023-12-13","Exceptional","Exceptional","Yes"
