"requisition_id","vacancy_position","job_grade","department","hiring_manager","requisition_open_date","requisition_close_date","candidate_id","candidate_gender","candidate_nationality","source_of_hire","interview_date","offer_date","joining_date","recruitment_cost"
"REQ-5001","Senior Technician - Sales & Distribution","G8","Sales & Distribution","Tariq Islam","2025-11-28","2025-12-19","CAN-5001","Male","Egyptian","Walk-in","2025-12-27","2026-01-03","2025-12-22","8610"
"REQ-5002","Senior Manager - Marketing","G11","Marketing","Huda Abdullah","2024-01-14","2024-02-14","CAN-5002","Female","Filipino","Career Site","2024-02-08","2024-02-22","2024-02-14","9600"
"REQ-5003","Coordinator - Supply Chain & Logistics","G2","Supply Chain & Logistics","Bishnu Iqbal","2023-06-28","2023-08-15","CAN-5003","Female","Sri Lankan","LinkedIn","2023-08-02","2023-08-09","2023-08-15","11180"
"REQ-5004","Associate - R&D","G4","R&D","Arjun Santos","2023-11-25","2024-01-23","CAN-5004","Male","Nepali","Agency","2023-12-17","2023-12-29","2024-01-26","3350"
"REQ-5005","Associate - Quality Assurance & Food Safety","G4","Quality Assurance & Food Safety","Juan Al-Marri","2024-04-14","2024-05-07","CAN-5005","Female","Indian","Career Site","2024-05-20","2024-05-22","2024-05-09","7870"
"REQ-5006","Manager - Quality Assurance & Food Safety","G10","Quality Assurance & Food Safety","Rakesh Cruz","2025-08-13","2025-09-08","CAN-5006","Male","Egyptian","University Hiring","2025-09-13","2025-09-19","2025-09-11","10800"
"REQ-5007","Technician - Supply Chain & Logistics","G5","Supply Chain & Logistics","Prakash Reyes","2023-05-13","2023-07-06","CAN-5007","Male","Filipino","Agency","2023-06-14","2023-06-18","2023-07-09","1290"
"REQ-5008","Assistant - Supply Chain & Logistics","G4","Supply Chain & Logistics","Manoj Fernandes","2025-09-16","2025-11-05","CAN-5008","Male","Egyptian","Career Site","2025-10-18","2025-10-28","2025-11-05","11640"
"REQ-5009","Assistant - Farm Operations","G4","Farm Operations","Sanjay Ibrahim","2024-02-19","2024-03-31","CAN-5009","Male","Pakistani","Agency","2024-03-27","2024-04-02","2024-04-01","2920"
"REQ-5010","Assistant - R&D","G3","R&D","Arjun Santos","2023-07-29","2023-09-12","CAN-5010","Female","Qatari","LinkedIn","2023-08-28","2023-09-05","2023-09-12","8300"
"REQ-5011","Senior Technician - R&D","G8","R&D","Sameer Sharma","2025-05-31","2025-08-08","CAN-5011","Male","Pakistani","Career Site","2025-06-14","2025-06-26","2025-08-10","4300"
"REQ-5012","Senior Officer - Finance","G9","Finance","Shobha Thapa","2024-02-12","2024-04-10","CAN-5012","Female","Egyptian","LinkedIn","2024-03-06","2024-03-18","2024-04-14","4030"
"REQ-5013","Specialist - Sales & Distribution","G9","Sales & Distribution","Hassan Baig","2024-09-19","2024-10-19","CAN-5013","Female","Qatari","Referral","2024-10-18","2024-10-21","2024-10-22","880"
"REQ-5014","Senior Officer - Finance","G6","Finance","Arjun Cruz","2024-10-17","2024-12-16","CAN-5014","Male","Indian","Career Site","2024-11-19","2024-11-29","2024-12-19","9540"
"REQ-5015","Specialist - Quality Assurance & Food Safety","G8","Quality Assurance & Food Safety","Omar Sharma","2023-09-02","2023-10-20","CAN-5015","Male","Indian","Referral","2023-09-27","2023-10-06","2023-10-22","2080"
"REQ-5016","Team Lead - People & Culture","G8","People & Culture","Ravi Santos","2024-09-23","2024-11-03","CAN-5016","Male","Nepali","Agency","2024-10-22","2024-10-30","2024-11-06","9370"
"REQ-5017","Technician - People & Culture","G1","People & Culture","Omar Abdullah","2025-07-26","2025-09-12","CAN-5017","Male","Egyptian","Agency","2025-08-21","2025-08-30","2025-09-15","4200"
"REQ-5018","Specialist - Production","G9","Production","Hassan Pereira","2024-11-24","2025-01-16","CAN-5018","Female","Sudanese","Referral","2024-12-14","2024-12-21","2025-01-16","5380"
"REQ-5019","Senior Manager - Production","G11","Production","Kumar Islam","2025-06-09","2025-08-18","CAN-5019","Male","Sri Lankan","Referral","2025-06-20","2025-06-25","2025-08-22","3950"
"REQ-5020","Officer - Sales & Distribution","G1","Sales & Distribution","Prakash Pereira","2024-06-23","2024-08-31","CAN-5020","Male","Jordanian","Agency","2024-07-16","2024-07-26","2024-09-01","9580"
"REQ-5021","Assistant - IT & Digital","G2","IT & Digital","Mona Khan","2024-04-27","2024-07-07","CAN-5021","Male","Pakistani","Career Site","2024-05-19","2024-05-26","2024-07-10","2670"
"REQ-5022","Supervisor - Marketing","G6","Marketing","Tariq Kapoor","2025-04-29","2025-06-06","CAN-5022","Female","Indian","Career Site","2025-05-12","2025-05-15","2025-06-06","5970"
"REQ-5023","Senior Officer - Procurement","G6","Procurement","Juan Santos","2022-11-13","2023-01-11","CAN-5023","Male","Jordanian","Referral","2022-12-20","2022-12-28","2023-01-11","8600"
"REQ-5024","Operator - Supply Chain & Logistics","G1","Supply Chain & Logistics","Manoj Fernandes","2025-04-18","2025-06-02","CAN-5024","Female","Egyptian","LinkedIn","2025-05-02","2025-05-08","2025-06-04","7860"
"REQ-5025","Associate - People & Culture","G1","People & Culture","Manoj Fernandes","2024-01-23","2024-03-15","CAN-5025","Female","Egyptian","Referral","2024-03-01","2024-03-04","2024-03-16","11570"
"REQ-5026","Associate - People & Culture","G2","People & Culture","Noor Baig","2023-01-26","2023-03-03","CAN-5026","Female","Sri Lankan","LinkedIn","2023-02-19","2023-03-02","2023-03-07","11650"
"REQ-5027","Associate - R&D","G3","R&D","Waleed Cruz","2023-12-09","2024-01-09","CAN-5027","Female","Bangladeshi","Agency","2023-12-26","2024-01-06","2024-01-12","3850"
"REQ-5028","Senior Technician - Quality Assurance & Food Safety","G9","Quality Assurance & Food Safety","Anil Gurung","2024-06-07","2024-07-01","CAN-5028","Male","Sri Lankan","Agency","2024-06-30","2024-07-13","2024-07-01","3070"
"REQ-5029","Operator - Supply Chain & Logistics","G1","Supply Chain & Logistics","Sanjay El-Sayed","2023-10-24","2023-12-21","CAN-5029","Female","Indian","Referral","2023-11-27","2023-12-06","2023-12-22","10390"
"REQ-5030","Assistant Manager - Production","G10","Production","Sameer Abdullah","2023-08-25","2023-09-12","CAN-5030","Male","Egyptian","Agency","2023-09-18","2023-09-29","2023-09-15","7830"
"REQ-5031","Coordinator - Sales & Distribution","G2","Sales & Distribution","Manoj Baig","2025-07-08","2025-08-02","CAN-5031","Male","Pakistani","Referral","2025-07-20","2025-07-30","2025-08-04","5460"
"REQ-5032","Officer - Quality Assurance & Food Safety","G1","Quality Assurance & Food Safety","Sameer Gurung","2024-07-09","2024-09-10","CAN-5032","Female","Egyptian","LinkedIn","2024-07-24","2024-08-01","2024-09-10","2420"
"REQ-5033","Manager - Production","G10","Production","Krishna Cruz","2023-02-19","2023-04-17","CAN-5033","Male","Egyptian","Referral","2023-03-06","2023-03-15","2023-04-17","11160"
"REQ-5034","Senior Officer - Corporate & Executive Office","G9","Corporate & Executive Office","Priya Farouk","2025-08-07","2025-10-18","CAN-5034","Male","Filipino","Agency","2025-08-30","2025-09-05","2025-10-20","1060"
"REQ-5035","Senior Technician - Supply Chain & Logistics","G9","Supply Chain & Logistics","Sanjay Devi","2023-04-03","2023-04-27","CAN-5035","Female","Egyptian","Career Site","2023-04-25","2023-05-03","2023-05-01","1730"
"REQ-5036","Specialist - IT & Digital","G6","IT & Digital","Anita Fernandes","2024-08-30","2024-10-02","CAN-5036","Female","Nepali","Walk-in","2024-09-29","2024-10-07","2024-10-04","7200"
"REQ-5037","Associate - Supply Chain & Logistics","G1","Supply Chain & Logistics","Prakash Reyes","2024-06-26","2024-08-12","CAN-5037","Male","Pakistani","LinkedIn","2024-07-30","2024-08-04","2024-08-14","6630"
"REQ-5038","Coordinator - Sales & Distribution","G2","Sales & Distribution","Bishnu Al-Marri","2022-11-06","2023-01-09","CAN-5038","Female","Qatari","Career Site","2022-11-24","2022-11-26","2023-01-11","10840"
"REQ-5039","Associate - Sales & Distribution","G5","Sales & Distribution","Reem Youssef","2025-03-21","2025-05-09","CAN-5039","Male","Indian","Referral","2025-04-09","2025-04-18","2025-05-09","8330"
"REQ-5040","Associate - Production","G3","Production","Waleed Hassan","2023-02-22","2023-03-19","CAN-5040","Male","Egyptian","Career Site","2023-03-11","2023-03-21","2023-03-20","9410"
"REQ-5041","Senior Technician - Supply Chain & Logistics","G9","Supply Chain & Logistics","Sanjay Rai","2023-01-02","2023-02-08","CAN-5041","Male","Bangladeshi","LinkedIn","2023-01-30","2023-02-12","2023-02-08","1220"
"REQ-5042","Vice President - People & Culture","G14","People & Culture","Yousef Al-Attiyah","2022-12-17","2023-01-11","CAN-5042","Female","Indian","Career Site","2023-01-12","2023-01-18","2023-01-13","9850"
"REQ-5043","Senior Technician - Farm Operations","G8","Farm Operations","Faisal Santos","2023-08-21","2023-10-31","CAN-5043","Male","Filipino","LinkedIn","2023-09-06","2023-09-20","2023-11-01","6570"
"REQ-5044","Technician - Production","G5","Production","Rakesh Youssef","2024-12-19","2025-02-25","CAN-5044","Female","Egyptian","Referral","2025-01-27","2025-02-10","2025-02-26","1300"
"REQ-5045","Coordinator - Marketing","G3","Marketing","Reem Ibrahim","2025-07-27","2025-08-30","CAN-5045","Male","Egyptian","Walk-in","2025-09-04","2025-09-18","2025-09-01","9180"
"REQ-5046","Assistant - IT & Digital","G1","IT & Digital","Rowena Ibrahim","2023-08-07","2023-10-08","CAN-5046","Male","Egyptian","Agency","2023-08-23","2023-09-05","2023-10-12","4340"
"REQ-5047","Coordinator - Marketing","G2","Marketing","Maria Khan","2023-09-22","2023-10-10","CAN-5047","Male","Bangladeshi","LinkedIn","2023-10-12","2023-10-22","2023-10-13","1860"
"REQ-5048","Assistant - Supply Chain & Logistics","G1","Supply Chain & Logistics","Prakash Reyes","2024-11-02","2024-12-29","CAN-5048","Male","Egyptian","Walk-in","2024-11-23","2024-11-28","2025-01-01","3500"
"REQ-5049","Associate - Sales & Distribution","G4","Sales & Distribution","Rajesh Abdullah","2024-09-19","2024-10-10","CAN-5049","Male","Egyptian","Referral","2024-10-01","2024-10-13","2024-10-10","2810"
