"employee_id","salary_effective_date","housing_allowance","transport_allowance","education_allowance","other_allowances","variable_pay","bonus","incentive","total_cash_compensation","total_remuneration"
"BLD-100002","2023-01-01","7220","1020","1460","0","1990","11380","0","48330","52540"
"BLD-100002","2024-01-01","7790","870","830","330","1740","0","0","39140","42480"
"BLD-100002","2025-01-01","8220","720","0","60","2020","0","0","40620","46580"
"BLD-100003","2023-01-01","920","710","710","0","0","0","0","6050","6620"
"BLD-100004","2023-01-01","750","1100","0","0","0","2220","0","7320","7790"
"BLD-100004","2024-01-01","820","1000","0","0","0","1670","0","6420","6830"
"BLD-100004","2025-01-01","760","940","0","0","0","0","0","4770","5280"
"BLD-100005","2023-01-01","2140","730","0","0","0","510","0","12180","13130"
"BLD-100005","2024-01-01","2360","1070","0","0","0","0","0","12650","13490"
"BLD-100006","2023-01-01","740","880","750","280","0","1040","0","6420","6930"
"BLD-100006","2024-01-01","680","670","0","0","0","0","0","4600","4950"
"BLD-100006","2025-01-01","1010","870","140","0","0","750","0","6470","6990"
"BLD-100007","2023-01-01","880","1060","0","0","0","0","0","5030","5580"
"BLD-100008","2023-01-01","5900","620","0","0","350","14360","0","45660","48720"
"BLD-100008","2024-01-01","6460","950","1440","0","2150","13390","0","51910","57050"
"BLD-100008","2025-01-01","7140","760","780","0","60","0","0","37590","42840"
"BLD-100009","2023-01-01","2750","1000","990","0","1000","11960","0","30760","33010"
"BLD-100009","2024-01-01","3140","1100","0","0","1260","6820","0","25570","27500"
"BLD-100009","2025-01-01","3530","860","0","0","1290","0","0","22920","26110"
"BLD-100010","2023-01-01","950","1000","0","300","0","3190","0","8850","9510"
"BLD-100010","2024-01-01","710","710","0","0","0","1020","0","5730","6460"
"BLD-100010","2025-01-01","870","610","200","0","0","2060","0","7810","8740"
"BLD-100011","2023-01-01","1270","1030","0","50","0","0","0","6890","7510"
"BLD-100012","2023-01-01","770","1170","1390","220","0","0","0","6460","6850"
"BLD-100012","2024-01-01","870","960","0","0","0","2300","0","7060","7430"
"BLD-100012","2025-01-01","870","740","0","0","0","0","0","4710","5230"
"BLD-100013","2023-01-01","2190","990","0","0","0","2140","0","14360","16150"
"BLD-100013","2024-01-01","2120","960","1240","0","0","9470","0","24070","25670"
"BLD-100013","2025-01-01","1980","610","260","240","0","0","0","12450","13560"
"BLD-100014","2023-01-01","1700","1110","270","0","0","3390","0","12400","13540"
"BLD-100014","2024-01-01","1460","660","0","370","0","4870","0","13130","14970"
"BLD-100015","2023-01-01","3570","990","0","210","0","11030","0","28660","31420"
"BLD-100015","2024-01-01","2650","680","0","0","0","4300","0","19330","21000"
"BLD-100015","2025-01-01","3190","780","0","0","0","3900","0","19760","21810"
"BLD-100016","2023-01-01","1880","920","0","0","0","0","0","9490","10160"
"BLD-100016","2024-01-01","1460","970","1090","370","0","6550","0","17270","19520"
"BLD-100016","2025-01-01","1960","1170","890","250","0","3950","0","15220","16850"
