"employee_id","course_name","training_category","training_hours","training_cost","completion_status","completion_date","certification_achieved"
"BLD-100002","Conflict Resolution","Soft Skills","8","1060","Completed","2024-12-06","No"
"BLD-100002","Coaching for Performance","Leadership","8","1440","Completed","2023-03-11","No"
"BLD-100002","Dairy Processing Fundamentals","Technical","8","1750","Completed","2025-11-29","Yes"
"BLD-100002","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2023-06-19","No"
"BLD-100002","Time Management","Soft Skills","4","1110","Completed","2023-12-24","No"
"BLD-100002","Data Privacy Awareness","Mandatory","2","0","Completed","2024-06-05","No"
"BLD-100002","Dairy Processing Fundamentals","Technical","8","790","In Progress",,"No"
"BLD-100002","Conflict Resolution","Soft Skills","4","740","Completed","2024-11-28","No"
"BLD-100002","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2025-05-05","No"
"BLD-100002","DOA & Governance Training","Compliance","8","0","Completed","2024-07-08","Yes"
"BLD-100004","Quality Control Techniques","Technical","2","990","In Progress",,"No"
"BLD-100004","Fire & Emergency Response","Mandatory","2","0","Completed","2023-03-05","No"
"BLD-100004","First-Time Manager Program","Leadership","8","1510","Completed","2024-09-02","No"
"BLD-100004","Time Management","Soft Skills","2","330","Completed","2023-07-03","No"
"BLD-100004","Cold Chain Logistics","Technical","4","460","Completed","2023-06-26","Yes"
"BLD-100004","SAP for HR Users","Technical","4","890","Completed","2023-11-27","Yes"
"BLD-100004","Time Management","Soft Skills","8","700","Not Started",,"No"
"BLD-100004","DOA & Governance Training","Compliance","8","0","Completed","2025-03-18","Yes"
"BLD-100005","Health & Safety Induction","Mandatory","8","0","Completed","2023-09-17","No"
"BLD-100005","Cold Chain Logistics","Technical","4","1350","Completed","2023-11-27","Yes"
"BLD-100005","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2023-12-14","No"
"BLD-100005","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2023-06-07","No"
"BLD-100006","Advanced Excel for Reporting","Technical","4","2070","Completed","2024-08-17","Yes"
"BLD-100006","Quality Control Techniques","Technical","4","1050","Completed","2024-02-03","No"
"BLD-100006","Fire & Emergency Response","Mandatory","4","0","Completed","2024-12-30","No"
"BLD-100006","Data Privacy Awareness","Mandatory","8","0","Completed","2025-10-25","No"
"BLD-100006","Data Privacy Awareness","Mandatory","16","0","Completed","2023-09-17","No"
"BLD-100006","First-Time Manager Program","Leadership","4","1850","Completed","2025-11-21","No"
"BLD-100006","Time Management","Soft Skills","2","1210","Completed","2025-12-22","No"
"BLD-100008","Fire & Emergency Response","Mandatory","8","0","Completed","2023-01-06","No"
"BLD-100008","Fire & Emergency Response","Mandatory","2","0","In Progress",,"No"
"BLD-100008","Data Privacy Awareness","Mandatory","4","0","In Progress",,"No"
"BLD-100008","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2023-12-18","No"
"BLD-100008","Advanced Excel for Reporting","Technical","2","180","Completed","2023-11-03","No"
"BLD-100008","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2025-04-19","No"
"BLD-100008","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2023-04-03","No"
"BLD-100008","Data Privacy Awareness","Mandatory","2","0","In Progress",,"No"
"BLD-100008","Advanced Excel for Reporting","Technical","4","1510","Not Started",,"No"
"BLD-100008","Health & Safety Induction","Mandatory","16","0","Completed","2024-10-16","No"
"BLD-100008","Strategic Leadership Workshop","Leadership","2","440","Completed","2023-01-08","No"
